               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10772,            0.048753,            0.028318,            0.037604,            0.056818,            0.012196,           0.0025766,            0.091998,            0.048767,            0.027122,             0.00146,             0.00146,             0.08686
                   1,            0.083414,            0.053983,            0.025787,             0.18367,             0.27708,             0.12517,            0.033057,            0.068467,            0.045628,            0.024201,            0.002872,            0.002872,            0.073572
                   2,            0.073079,            0.044444,            0.023851,             0.12885,             0.34201,            0.093574,             0.02454,            0.080443,            0.030976,             0.02263,           0.0042258,           0.0042258,            0.060226
                   3,            0.073256,            0.036558,             0.02358,             0.40386,             0.37617,             0.27727,            0.072157,            0.070092,            0.027732,            0.022084,           0.0055213,           0.0055213,            0.046821
                   4,            0.067116,            0.032222,            0.022578,               0.382,             0.46052,             0.35022,             0.11944,            0.056782,            0.028862,            0.021085,           0.0067587,           0.0067587,            0.033359
                   5,            0.064284,            0.030226,            0.022713,             0.35689,             0.48312,              0.3627,             0.10212,            0.060366,            0.025742,            0.020363,           0.0079378,           0.0079378,            0.019838
                   6,            0.062776,            0.032457,            0.020307,             0.31786,             0.60117,             0.37846,            0.086426,            0.054615,             0.02722,            0.018006,            0.008812,            0.008812,            0.008812
                   7,            0.058503,             0.03059,            0.018436,             0.48584,             0.63136,             0.53213,             0.18983,            0.055509,            0.023936,            0.014741,            0.008812,            0.008812,            0.008812
                   8,            0.052342,            0.027707,            0.015961,             0.61531,             0.71682,             0.71257,             0.35412,            0.042538,            0.022947,            0.011362,            0.008614,            0.008614,            0.008614
                   9,            0.048586,             0.02643,            0.012262,             0.66971,             0.68906,             0.69544,              0.3018,            0.042069,            0.022479,            0.010161,            0.008416,            0.008416,            0.008416
                  10,            0.047117,            0.027159,            0.010867,             0.76878,              0.6543,             0.73638,             0.34245,            0.039643,            0.022043,            0.013256,            0.008218,            0.008218,            0.008218
                  11,            0.040518,            0.025929,            0.010108,             0.73458,             0.74772,             0.78331,             0.39298,            0.039293,            0.022277,           0.0098008,             0.00802,             0.00802,             0.00802
                  12,            0.042449,            0.024948,           0.0083597,             0.76665,             0.76902,             0.81912,             0.45874,            0.035994,            0.021509,           0.0069613,            0.007822,            0.007822,            0.007822
                  13,            0.039957,            0.024406,           0.0072338,             0.83675,             0.75891,             0.82428,             0.48903,             0.03488,            0.021112,           0.0072181,            0.007624,            0.007624,            0.007624
                  14,            0.037871,            0.023084,           0.0070655,             0.87466,             0.76052,             0.84976,             0.46546,            0.037904,             0.02059,           0.0063834,            0.007426,            0.007426,            0.007426
                  15,            0.036856,            0.023754,           0.0073831,             0.84115,             0.78128,             0.84531,             0.50138,            0.032662,            0.020147,           0.0065924,            0.007228,            0.007228,            0.007228
                  16,            0.036209,            0.024147,           0.0063216,             0.85446,             0.81981,             0.87376,             0.53635,            0.030128,            0.020428,           0.0058028,             0.00703,             0.00703,             0.00703
                  17,            0.036157,            0.023943,           0.0055505,             0.83684,             0.80092,             0.85457,             0.48231,            0.035295,            0.020334,           0.0053016,            0.006832,            0.006832,            0.006832
                  18,            0.035847,            0.022825,           0.0050457,             0.88873,             0.78753,             0.88265,             0.50613,             0.03223,            0.020032,            0.004428,            0.006634,            0.006634,            0.006634
                  19,            0.032968,            0.022823,           0.0061393,             0.83882,             0.82605,             0.87662,             0.52773,             0.03146,            0.019838,           0.0046688,            0.006436,            0.006436,            0.006436
                  20,            0.033964,            0.022499,           0.0046201,             0.87772,             0.80562,             0.88489,             0.53466,            0.030713,            0.019493,           0.0043428,            0.006238,            0.006238,            0.006238
                  21,            0.033227,            0.022357,           0.0050524,             0.87686,             0.80834,             0.88582,             0.54966,            0.029489,            0.019485,           0.0045494,             0.00604,             0.00604,             0.00604
                  22,            0.033578,            0.022395,            0.004974,             0.86144,             0.82128,             0.87867,               0.536,            0.029435,             0.01936,           0.0043159,            0.005842,            0.005842,            0.005842
                  23,            0.032193,            0.023248,            0.004538,             0.86801,             0.83972,             0.88646,             0.57674,            0.027597,            0.018947,            0.004381,            0.005644,            0.005644,            0.005644
                  24,            0.031462,            0.021716,           0.0043275,             0.83757,              0.8069,             0.86608,             0.54682,            0.028448,            0.019864,           0.0044716,            0.005446,            0.005446,            0.005446
                  25,            0.031116,            0.021993,           0.0043651,             0.82645,             0.80518,             0.86136,             0.54776,            0.027482,            0.019563,           0.0052268,            0.005248,            0.005248,            0.005248
                  26,            0.030175,            0.021815,           0.0038718,             0.86614,             0.80438,             0.87152,             0.55246,            0.029121,            0.019676,           0.0051414,             0.00505,             0.00505,             0.00505
                  27,            0.028314,            0.021029,           0.0037713,             0.84863,             0.82001,             0.87264,             0.57183,            0.026675,            0.019779,           0.0049848,            0.004852,            0.004852,            0.004852
                  28,            0.028862,            0.021155,           0.0039793,             0.83629,              0.8304,             0.87248,             0.55682,            0.027323,             0.01928,           0.0047611,            0.004654,            0.004654,            0.004654
                  29,            0.027953,            0.020211,           0.0030925,             0.89373,             0.79203,             0.88142,             0.57908,            0.026834,            0.019186,           0.0045281,            0.004456,            0.004456,            0.004456
                  30,            0.028517,            0.021359,           0.0032828,             0.87405,             0.81924,             0.88776,             0.57392,            0.026847,            0.019156,           0.0047787,            0.004258,            0.004258,            0.004258
                  31,            0.026875,            0.021594,           0.0033621,             0.90136,             0.79935,             0.88593,             0.58624,            0.025688,            0.019281,           0.0045611,             0.00406,             0.00406,             0.00406
                  32,             0.02709,            0.020705,           0.0035701,             0.87274,              0.8162,             0.88668,             0.58056,            0.026856,            0.019147,           0.0040904,            0.003862,            0.003862,            0.003862
                  33,            0.026698,            0.020807,           0.0030034,             0.82792,             0.85752,             0.88767,              0.5927,            0.026084,            0.019038,           0.0038911,            0.003664,            0.003664,            0.003664
                  34,            0.026611,            0.019831,           0.0027155,              0.8677,             0.82421,             0.88291,             0.58787,            0.025518,            0.019162,            0.003971,            0.003466,            0.003466,            0.003466
                  35,             0.02533,            0.019393,           0.0025344,             0.88704,             0.82069,             0.88058,             0.58487,            0.025441,            0.018994,           0.0041348,            0.003268,            0.003268,            0.003268
                  36,              0.0246,            0.018578,           0.0024242,             0.87793,             0.83372,             0.88635,             0.59034,            0.025282,            0.019066,           0.0038739,             0.00307,             0.00307,             0.00307
                  37,            0.025326,            0.019399,           0.0029899,             0.88785,             0.82509,             0.89422,             0.59542,            0.024818,              0.0187,           0.0033807,            0.002872,            0.002872,            0.002872
                  38,             0.02518,            0.020694,           0.0026277,             0.87137,              0.8373,              0.8963,             0.60291,            0.024684,            0.018714,            0.003533,            0.002674,            0.002674,            0.002674
                  39,             0.02442,            0.018534,           0.0026073,             0.88395,              0.8224,             0.89295,             0.60252,            0.024766,             0.01877,           0.0042183,            0.002476,            0.002476,            0.002476
                  40,            0.025356,            0.020116,           0.0028903,             0.86702,             0.84104,              0.8851,             0.59548,            0.024557,            0.018816,           0.0045659,            0.002278,            0.002278,            0.002278
                  41,            0.024199,            0.019353,           0.0026638,             0.85436,             0.85377,             0.88982,             0.60346,            0.024627,            0.018587,           0.0043129,             0.00208,             0.00208,             0.00208
                  42,            0.023998,            0.019102,           0.0022634,             0.85826,             0.84651,             0.89528,             0.60354,            0.024612,            0.018544,           0.0039154,            0.001882,            0.001882,            0.001882
                  43,            0.024584,            0.019841,           0.0028074,             0.88638,              0.8303,             0.89876,             0.60237,             0.02469,            0.018555,           0.0035927,            0.001684,            0.001684,            0.001684
                  44,            0.023827,            0.019057,           0.0026028,             0.87132,             0.84344,             0.89825,             0.61014,            0.024269,            0.018678,           0.0040814,            0.001486,            0.001486,            0.001486
                  45,            0.023204,            0.018193,            0.002462,               0.878,             0.83597,             0.89849,             0.60396,            0.024355,            0.018687,           0.0037004,            0.001288,            0.001288,            0.001288
                  46,            0.023333,            0.018907,           0.0022002,             0.88884,             0.83253,              0.9012,             0.60935,             0.02438,            0.018527,           0.0036049,             0.00109,             0.00109,             0.00109
                  47,            0.023342,            0.018011,           0.0022855,             0.84964,             0.84958,              0.8932,             0.61165,            0.024167,             0.01849,           0.0038449,            0.000892,            0.000892,            0.000892
                  48,            0.023359,            0.019276,           0.0017603,             0.86868,             0.84649,             0.90075,             0.61072,              0.0241,             0.01851,           0.0038283,            0.000694,            0.000694,            0.000694
                  49,            0.022974,             0.01848,           0.0019088,             0.86914,             0.85029,             0.90308,              0.6081,            0.024305,             0.01862,           0.0035581,            0.000496,            0.000496,            0.000496
